[K] 	 [W m-2 sr-1] 
0.0	0.0
20.0	4.504955430454517e-276
40.0	1.164697054459331e-136
60.0	5.235903001651662e-90
80.0	1.3320340254687137e-66
100.0	1.6375168066531964e-52
120.0	4.3577643354506594e-43
140.0	2.4876628505416855e-36
160.0	3.0405119182251364e-31
180.0	2.859708106951151e-27
200.0	4.46107726102035e-24
220.0	1.881735658314318e-21
240.0	2.97263970266921e-19
260.0	2.203323555593922e-17
280.0	9.000173341002174e-16
300.0	2.2797770059419423e-14
320.0	3.912264369579835e-13
340.0	4.866944137346866e-12
360.0	4.626617905300873e-11
380.0	3.5038375678495987e-10
400.0	2.1857422568220354e-09
420.0	1.1539675073714922e-08
440.0	5.272025776942187e-08
460.0	2.122969110852168e-07
480.0	7.6519433077899e-07
500.0	2.500859347310047e-06
520.0	7.4932871247347945e-06
540.0	2.0777916937725016e-05
560.0	5.375102577081361e-05
580.0	0.00013063525951634132
600.0	0.00030009592043301524
620.0	0.0006550724990093024
640.0	0.0013651162893363376
660.0	0.0027269822042037995
680.0	0.005240870410701273
700.0	0.009721486503700702
720.0	0.017454903261738822
740.0	0.030413965037950907
760.0	0.051546574689599084
780.0	0.085152542729525
800.0	0.13736566967669964
820.0	0.2167583026773717
840.0	0.3350857047233868
860.0	0.5081871710096416
880.0	0.7570599178105315
900.0	1.1091203729681307
920.0	1.5996656519074597
940.0	2.2735457637094916
960.0	3.1870545252576887
980.0	4.410044343091558
1000.0	6.028267031736808
1020.0	8.145939753753872
1040.0	10.888532067636406
1060.0	14.40576702678009
1080.0	18.87482635057517
1100.0	24.503746943240497
1120.0	31.53499351396814
1140.0	40.24918979033238
1160.0	50.96898884328923
1180.0	64.06306137495052
1200.0	79.95017946978152
1220.0	99.10337227851498
1240.0	122.05412938786
1260.0	149.39662721833812
1280.0	181.7919536729624
1300.0	219.9723064129327
1320.0	264.7451405421589
1340.0	316.99724211731296
1360.0	377.698704740027
1380.0	447.9067875078913
1400.0	528.7696337760283
1420.0	621.52983148655
1440.0	727.5277972351319
1460.0	848.2049677393079
1480.0	985.1067839301672
1500.0	1139.885454487607
1520.0	1314.3024872603903
1540.0	1510.2309786388535
1560.0	1729.6576525646262
1580.0	1974.6846424544171
1600.0	2247.53101087146
1620.0	2550.5340032880645
1640.0	2886.1500337366633
1660.0	3256.955401537262
1680.0	3665.6467396098424
1700.0	4115.041196126124
1720.0	4608.0763524223285
1740.0	5147.809881180295
1760.0	5737.418949887006
1780.0	6380.199375501027
1800.0	7079.56453708888
1820.0	7839.0440539452375
1840.0	8662.282237379492
1860.0	9553.0363249396
1880.0	10515.174506353958
1900.0	11552.673750906772
1920.0	12669.617446324173
1940.0	13870.192859540992
1960.0	15158.688429944928
1980.0	16539.490905859097
2000.0	18017.082335130046
2020.0	19596.03692073924
2040.0	21281.017752356085
2060.0	23076.773424703595
2080.0	24988.134553516997
2100.0	27020.010199745444
2120.0	29177.384212480516
2140.0	31465.31150089614
2160.0	33888.91424525651
2180.0	36453.37805679432
2200.0	39163.94809598511
2220.0	42025.9251584466
2240.0	45044.661737378636
2260.0	48225.55807113183
2280.0	51574.058184153284
2300.0	55095.64592920971
2320.0	58795.84103843204
2340.0	62680.195190365164
2360.0	66754.28809984325
2380.0	71023.72363714497
2400.0	75494.12598251892
2420.0	80171.13582180683
2440.0	85060.40658853113
2460.0	90167.60075745935
2480.0	95498.38619430661
2500.0	101058.43256589415
2520.0	106853.40781474569
2540.0	112888.97470177387
2560.0	119170.78742039084
2580.0	125704.48828506417
2600.0	132495.7044970408
2620.0	139550.0449896681
2640.0	146873.09735546313
2660.0	154470.42485680874
2680.0	162347.56352189797
2700.0	170510.01932729836
2720.0	178963.265468271
2740.0	187712.7397177532
